"~id","~label","name:String"
"878263d0-d3db-43a4-b7fa-ae64180a1faa","actor","Audrey Tautou"
"bbf419d1-9979-4c20-a4ff-a88d3d4777a2","actor","Jason Statham"
"9c3f39ba-b82a-4372-bb6d-921848817312","actor","Ellen Burstyn"
"144b4035-fc5a-468c-920f-7f7a36390918","actor","Robin Williams"
"974625dc-7db4-4fff-87ec-7d6a2c98c8f2","actor","Mohammad Amir Naji"
"9a647db6-a6a2-4d55-8f73-e86e58202034","actor","Mel Gibson"
"26b9c78c-6240-4daa-932d-80a54975c67f","actor","Harvey Keitel"
"49a2cacc-37df-4031-a5d2-244e7a1d9568","actor","Matthew Modine"
"152f5f94-a814-45cc-9d80-108f405576a4","actor","Aleksey Kravchenko"
"2c0d2891-c081-4716-818b-50f0a8be310f","actor","F. Murray Abraham"
"31e03270-1b0b-4ae9-9d90-38bdd1eb279e","actor","Jürgen Prochnow"
"651e09c1-ebac-4356-95cf-39d657edfded","actor","Paul Newman"
"c637dc0b-43fa-4ff9-8696-5095a2f1d05f","actor","Malcolm McDowell"
"a25425a4-34f8-47c8-9d68-47a2cda76e1c","actor","Keir Dullea"
"487403ac-3138-48a3-9a6b-1d1467d2a6ca","actor","Peter O'Toole"
"e8eb4e16-43b4-4c58-a623-8a3f68baf32e","actor","Jack Lemmon"
"0ee8324e-1fbf-4673-92fe-5ebbf5f53b0d","actor","Cary Grant"
"84690532-205d-4982-8387-74eae892b197","actor","Gene Kelly"
"224ac3cd-7062-4809-8ddf-f1dc6a98710d","actor","Takashi Shimura"
"5d0341d7-3c26-48b5-a47d-0a85add69e1e","actor","Lamberto Maggiorani"
"b4c27417-0163-488a-ae07-a7e5134de837","actor","Fred MacMurray"
"262c1b52-8465-4a33-9fe2-aa64a3703bf8","actor","Orson Welles"
"d1068e9d-8292-4034-96fd-d93d710b1df1","actor","Peter Lorre"
"0a8f60ce-efc8-4dfa-9081-5b48170566ff","actor","Brigitte Helm"
"c6987098-521c-482c-afc8-d006477eb210","actor","Sushant Singh Rajput"
"67a090fc-0ed3-4325-95c3-705727d56de3","actor","Vicky Kaushal"
"8558934b-7613-4dba-a6ce-5a215f9d3c9e","actor","Yash"
"cdf1fb10-a4f4-404c-b8d7-3c771b90c772","actor","Viggo Mortensen"
"13bb9c17-79ac-4cec-95a9-2339a217a332","actor","Frances McDormand"
"5ac96d13-1123-480b-bfe3-e6cc7b702520","actor","Irrfan Khan"
"468c4287-c831-454a-812c-a02077e7af2a","actor","Prabhas"
"f8ea216f-5f12-46f3-aaf3-1cdd55b47a02","actor","Carlos Martínez López"
"5bf05f34-9799-43c8-aef4-e8a639c6ac1c","actor","Ajay Devgn"
"6e09b4bb-db17-41b4-a7d3-a105b9512c33","actor","Kangana Ranaut"
"03df1cea-4f03-4030-b992-a0ef8f1c8f15","actor","Lembit Ulfsak"
"e765b6d1-701b-4a5f-a7cb-b19b6546a611","actor","Farhan Akhtar"
"a8b06173-457f-4839-bac9-f56998989791","actor","Manoj Bajpayee"
"63af39fc-6034-4627-82a1-7d64771d679a","actor","Rajat Barmecha"
"b42cea6a-497b-484b-83f0-317efafe2581","actor","Ricardo Darín"
"2b8409b5-1e06-4225-9103-83bb59e84220","actor","Tom Hardy"
"e823d2b0-5202-4021-b5b4-f2cbdb2bd635","actor","Bob Peterson"
"8fbd2b75-f896-4a8d-920e-42bbbedaef4d","actor","Shah Rukh Khan"
"8a899046-751e-4cb5-97b3-4e126099b6d5","actor","Daniel Day-Lewis"
"e759ad42-ece1-4b8b-81a2-8ecde0751f8b","actor","Ivana Baquero"
"0dd6a407-0ddf-48cc-9a87-4c1da41241c2","actor","Hugo Weaving"
"3f62e395-695a-43c2-bd3e-308dd8357d1d","actor","Amitabh Bachchan"
"118deccc-5668-4d2f-b40f-28d8ca586579","actor","Bruno Ganz"
"b2445e1e-451d-4d68-b46e-403ff77f794d","actor","Chieko Baishô"
"0d69f586-dd12-4f03-a6ec-780eabaf5c72","actor","Akshay Kumar"
"363fb445-056c-45c3-a4b6-e8539310d624","actor","Jason Flemyng"
"a1c718c4-76ff-44f7-92a2-101d501518b2","actor","Sener Sen"
"a54c12b1-b7e8-4e62-8306-5b37bbf78f38","actor","Davor Dujmovic"
"00f8a54d-9497-4b52-aec8-285d12c8a440","actor","Hitoshi Takagi"
"cc3f53fd-392e-481d-96e2-b36769b9803a","actor","Bruce Willis"
"5494918d-6afd-4051-bbe3-2c5a6f703f27","actor","Alisa Freyndlikh"
"36566c38-8a6e-48fa-a13a-590334d21472","actor","Ingrid Bergman"
"e0632ce4-0650-475f-9fde-97c42e407a67","actor","Anthony Quinn"
"ac288359-8595-4f8a-97b4-9dfaedec84bc","actor","Sanjeev Kumar"
"5da893fb-5280-4edf-ac9c-56cd5e20f188","actor","Terry Jones"
"f21202f0-b8e0-4756-965d-0b11fc9813fe","actor","Steve McQueen"
"60a889d6-b180-4546-9c30-9907febfbcb0","actor","Gregory Peck"
"757053b5-dae9-4dc0-aff5-3e0cd8faaa07","actor","Spencer Tracy"
"e1e3f4bd-7724-4f40-9eaf-92396c24e54e","actor","Marilyn Monroe"
"a87c7d78-2a1f-4999-ab82-7066e3a11ef7","actor","Victor Sjöström"
"edd16831-1504-4774-8527-ea8b6d995b07","actor","Max von Sydow"
"19aa229f-409d-424c-8a2b-e232111be1dd","actor","Jean Servais"
"42341831-7a40-435e-8a13-255d9466e64e","actor","Ray Milland"
"782c96df-3b7c-4ae4-b9a6-e03197c71026","actor","Chishû Ryû"
"08c0dd9d-7f42-4780-af22-9ea97cec2ca2","actor","Bette Davis"
"d1b3e592-3bc4-4a1c-a375-36c98aacc1e5","actor","Carole Lombard"
"c67b4331-e2ff-4821-8bf2-ed3e777fa87a","actor","Buster Keaton"
"701f7e03-4adb-4df0-a1a5-c9cdff3a3747","actor","Noémie Merlant"
"2d993a40-d535-467e-aa97-d070fccabfb0","actor","Taapsee Pannu"
"01c51a98-e601-429a-a558-55a40b9be530","actor","Miyu Irino"
"0b305193-ba74-4b6e-8ddc-39620a9e43c6","actor","Mario Casas"
"0cbe15e0-0100-4dc2-b083-6726a330a49a","actor","Kim Min-hee"
"d92bb050-0a0e-4a49-8d96-9a1f285d0654","actor","Anne Dorval"
"512b4825-8008-4b9f-b6af-301a9c8709e5","actor","Shahid Kapoor"
"7338c258-5c82-4714-bbbd-81a3ddaabbca","actor","Hugh Jackman"
"c9a18dd1-e556-4895-85ad-3239b39e1231","actor","Brie Larson"
"e8956349-da9e-444d-8cf2-f38379ed7f57","actor","Darío Grandinetti"
"918d0762-db9f-442f-ad88-b137e965edcc","actor","Kemp Powers"
"034b1f70-c5bb-4a21-9d35-5f61e9d746ed","actor","Haluk Bilginer"
"7d655c54-b4f0-44a3-8d7d-39e2c207af78","actor","Paresh Rawal"
"65a9d14b-3416-4524-a5fa-2a634e34b7ef","actor","Ralph Fiennes"
"42b9178d-ab4d-43f8-9e69-46b79d08cd57","actor","Ben Affleck"
"692b832c-7e87-49f9-b297-5c72d0bbd7b4","actor","Aoi Miyazaki"
"9dfe6e4a-f5d9-4e67-b9f3-b9db656dc4ce","actor","Andrew Garfield"
"887a9e8f-f230-499f-ad09-642b5397c784","actor","Ronnie Del Carmen"
"91e2e95b-ed45-40f7-b9bb-de057046503b","actor","Ranbir Kapoor"
"4e204e67-f97b-41e3-b8dc-a0c1c1e1e0c6","actor","Chiwetel Ejiofor"
"27dd3762-7d3e-43b1-990b-49b7b98449ff","actor","Daniel Brühl"
"91e74fe0-aa9a-4d49-85fe-7997a84e160a","actor","Matt Damon"
"8039d3b3-edfc-4c24-9251-a7f1ed97ae0c","actor","Mark Ruffalo"
"ff020275-2af1-4ba1-a1e3-c0de7191ea5c","actor","David Rawle"
"a9ce1239-ccfe-4dac-a7c3-356688fdfe63","actor","Vidya Balan"
"29cae662-524b-4500-b5bc-883b2efa0e91","actor","Hrithik Roshan"
"f1717686-0a09-4c70-94b3-22a994fc7c8e","actor","Anupam Kher"
"d3e3cde0-6ffe-48d4-aa5b-2d2e73a18107","actor","Daniel Radcliffe"
"68e8c40d-e045-42ec-8b9f-0733c5d26254","actor","Masahiro Motoki"
"f8d0a605-6c0e-4fec-beac-db56c7854950","actor","Richard Gere"
"8cdadb9f-fcf5-4b41-9921-801e24926568","actor","Toni Collette"
"b480467b-8c2f-43a8-af7b-a3f918c744d8","actor","Chris Sanders"
"44836d9f-b403-46af-ac7a-90c5ccc2a145","actor","Emile Hirsch"
"27479e81-3b28-4361-a4c6-b2e0f0c1312d","actor","Joel Coen"
"850f824b-795a-492e-804e-a8aca69c5872","actor","Sanjay Dutt"
"5991d4e7-5aaa-45a2-b461-b4dbb7b677f5","actor","Hilary Swank"
"333eee91-8717-42da-b171-0c149cf1025c","actor","Don Cheadle"
"dc0aacc7-16ab-463a-b391-ed4742a0f30e","actor","Jang Dong-Gun"
"83bc4f71-cd81-4b2b-941b-4253e6503411","actor","Ethan Hawke"
"bd23294e-f8dd-4ac6-9342-a655409687b6","actor","Uma Thurman"
"0d8b4074-0dd5-4387-bf70-7b6c5f0b4336","actor","Lee Unkrich"
"5088501f-d7c4-43b1-84f4-515c830af48a","actor","Emilio Echevarría"
"55db4394-a285-4a3f-b89b-01c440aa21a6","actor","David Silverman"
"647d44dd-fa6a-44cf-8166-e6355c893228","actor","Kazuya Tsurumaki"
"964c48b6-1a8b-4699-87a3-781ca5f6b1a2","actor","Tim Roth"
